"sentiment","textID","date","no_query","special","text"
"0","1573672615","Tue Apr 21 02:17:35 PDT 2009","NO_QUERY","jjanneke","@work. Going on holiday on friday but the weather is shit in Antalya Turkye by then "
"0","1573672643","Tue Apr 21 02:17:36 PDT 2009","NO_QUERY","mhammadd","Woke up early this morning (unusual when I don't have to work), and I don't seem to have any plans for this morning. Makes me sad "
"0","1573673066","Tue Apr 21 02:17:44 PDT 2009","NO_QUERY","mica_g","rain rain, go away "
"0","1573673490","Tue Apr 21 02:17:53 PDT 2009","NO_QUERY","PlantWaterSun","Should I force myself to stay up the rest of the day, to sleep well tomorrow night? Or go to sleep at 5 am again? Decisions. "
"0","1573673736","Tue Apr 21 02:17:57 PDT 2009","NO_QUERY","kaykotowicz","very depressed Feels unloved "
"0","1573673951","Tue Apr 21 02:18:01 PDT 2009","NO_QUERY","MissHollyweird","@HaidenJameson i wanna go "
"0","1573674541","Tue Apr 21 02:18:12 PDT 2009","NO_QUERY","yiorgos9","Those photons couldn't be emmited any slower "
"0","1573674771","Tue Apr 21 02:18:16 PDT 2009","NO_QUERY","RacelloMaria","muh head hurts "
"0","1573674944","Tue Apr 21 02:18:18 PDT 2009","NO_QUERY","simone1402","Shattered - two nights in a row Sophie has kept me awake "
"0","1573675223","Tue Apr 21 02:18:23 PDT 2009","NO_QUERY","fueledbygeorgia","@awesomepam That /would/ be weird to see. I hate fighting.    "
"0","1573675302","Tue Apr 21 02:18:24 PDT 2009","NO_QUERY","kshockey","want to get out and do something, but have no money "
"0","1573675420","Tue Apr 21 02:18:26 PDT 2009","NO_QUERY","firebucket","Come ON Premiere. You take so long to render lately. Why? I iz upset "
"0","1573675598","Tue Apr 21 02:18:30 PDT 2009","NO_QUERY","Saaamm","@serahhh haha. this ones black with the band of sequins round the bust. I reallylike it. but its a size too big for me. "
"0","1573676137","Tue Apr 21 02:18:40 PDT 2009","NO_QUERY","priscx","dinner soon. at pekopeko. but how to eat when im still full from lunch?  craving pop chicken though."
"0","1573676194","Tue Apr 21 02:18:41 PDT 2009","NO_QUERY","LadyElena","when I'm looking at that stuff, I really want to move so SF just to find some investors for my projects/ideas. Belgium really sucks "
