"sentiment","textID","date","no_query","special","text"
"0","1556976806","Sun Apr 19 01:19:46 PDT 2009","NO_QUERY","HollywoodKiss","DEA's are no fun  "
"0","1556976952","Sun Apr 19 01:19:52 PDT 2009","NO_QUERY","Joorrie","@tommcfly no i haven't  hey but you guys are back in England"
"0","1556977055","Sun Apr 19 01:19:52 PDT 2009","NO_QUERY","VnessaBabyy","I googled up remedies for jonzing and reading was one of the suggestions. therefore i'm now reading angels and demons.. it's pretty bunk "
"0","1556977067","Sun Apr 19 01:19:51 PDT 2009","NO_QUERY","SpaceCadetStina","trying to fix my phone         fail"
"0","1556977080","Sun Apr 19 01:19:52 PDT 2009","NO_QUERY","sebby_peek","@amazingphoebe mum said you couldn't come over "
"0","1556977282","Sun Apr 19 01:19:56 PDT 2009","NO_QUERY","tinalynch","oh well back to work tomorrow "
"0","1556977696","Sun Apr 19 01:20:03 PDT 2009","NO_QUERY","irvb","Powerpoint on a Sunday morning "
"0","1556977782","Sun Apr 19 01:20:04 PDT 2009","NO_QUERY","sianum","thinks it's very surreal being back at university and wants to come home already "
"0","1556977790","Sun Apr 19 01:20:04 PDT 2009","NO_QUERY","missgiggly","@Fuzzie_74 You're job hunting? "
"0","1556978262","Sun Apr 19 01:20:13 PDT 2009","NO_QUERY","Parakeeet","@guyoseary heard about M's accident. Terrible Just so wrong.  Sending her lots of get well wishes"
"0","1556978433","Sun Apr 19 01:20:16 PDT 2009","NO_QUERY","bunnie9","Should know better than to watch a movie about a dog's life.  Obviously the dog dies in the end "
"0","1556978669","Sun Apr 19 01:20:21 PDT 2009","NO_QUERY","davekemsley","is not looking forward to going back to work tommorow "
"0","1556978781","Sun Apr 19 01:20:23 PDT 2009","NO_QUERY","faithsonshyne","@DexterVonDoom  do You know he just joined Twitter~ =  @MatthewSantos ...cant wait to hear it...broke till next week "
"0","1556978797","Sun Apr 19 01:20:24 PDT 2009","NO_QUERY","aht4005","@AnneKinLA  i'm sorry send my prayers to her"
"0","1556979109","Sun Apr 19 01:20:29 PDT 2009","NO_QUERY","avl94","@nacorburgos I want to watch that but mum has control of the TV  Crashed into a car today "
"0","1556979193","Sun Apr 19 01:20:31 PDT 2009","NO_QUERY","sexystandridge","is up sick "
"0","1556979381","Sun Apr 19 01:20:34 PDT 2009","NO_QUERY","_Brittany_","@SisCullen Oh  why?"
"0","1556979658","Sun Apr 19 01:20:39 PDT 2009","NO_QUERY","dazuleh","@MattTaylor I go back tomorrow and its English that's irritating me. "
"0","1556979967","Sun Apr 19 01:20:45 PDT 2009","NO_QUERY","oliviastener","Yeah about tonigt........... "
"0","1556980318","Sun Apr 19 01:20:52 PDT 2009","NO_QUERY","Kristeen22","@Lizz082785 why no love for me? im sad now "
"0","1556980627","Sun Apr 19 01:20:58 PDT 2009","NO_QUERY","moreadventurous","Sorry I missed you Coachella "
"0","1556981006","Sun Apr 19 01:21:05 PDT 2009","NO_QUERY","maysiefurs","@purpleface totally get that\ like i don't know er well my blurry ones "
"0","1556981162","Sun Apr 19 01:21:08 PDT 2009","NO_QUERY","saegerlein","@petewentz how cruel is youtube?  http://tinyurl.com/cetapj"
"0","1556981394","Sun Apr 19 01:21:13 PDT 2009","NO_QUERY","Divababyj","skype....Who got one? im bored as hell "
"0","1556981399","Sun Apr 19 01:21:12 PDT 2009","NO_QUERY","schmoodub","a sunday morning trip to the local rubbish tip beckons, but there's already a big queue - bah  http://bit.ly/Evmfh"
"0","1556981860","Sun Apr 19 01:21:22 PDT 2009","NO_QUERY","kolmodin","Yet another sunny day in Utrecht (to be spent indoors). The last day of the hackathon...  Time to test and release. #hac5"
