"sentiment","textID","date","no_query","special","text"
"0","1686280732","Sun May 03 04:41:54 PDT 2009","NO_QUERY","lishyB","@gfalcone601 my throat is still killing me from hammersmith  and I feel like a granny with stiff joints it's not good"
"0","1686280746","Sun May 03 04:41:54 PDT 2009","NO_QUERY","mgddth","@tommcfly Please do not dislike Japan "
"0","1686280825","Sun May 03 04:41:56 PDT 2009","NO_QUERY","chorale","@chorale  2 older ones live in Montreal 500miles away don't see them much  sad"
"0","1686281054","Sun May 03 04:42:00 PDT 2009","NO_QUERY","jazzi_mine","really doesnt wanna go to school "
"0","1686281167","Sun May 03 04:42:02 PDT 2009","NO_QUERY","elliejanexo","shorting out music for bbq unfortunately my family dont appreciate the music of @mileycyrus @ddlovato and @Jonasbrothers  oh well =] xo"
"0","1686281470","Sun May 03 04:42:07 PDT 2009","NO_QUERY","stephrosevear","awaiting a Nadal victory to cheer me up after El Clasico last night  VAMOS RAFA "
"0","1686281857","Sun May 03 04:42:14 PDT 2009","NO_QUERY","Crackers1967","@laperugina Oh  The tweets will be 2 hrs old for me "
"0","1686282918","Sun May 03 04:42:34 PDT 2009","NO_QUERY","OMGNOWAIZWTF","had a great night, but I'm sure a dog slept in my mouth last night "
"0","1686282934","Sun May 03 04:42:34 PDT 2009","NO_QUERY","uruz74","@DBoyDen yes, but my BF loves attention on himself too. He thinks he wont get all that much when his birthday comes... "
"0","1686283062","Sun May 03 04:42:36 PDT 2009","NO_QUERY","Alexia_Hunter","definitely would not recommend the latest xmen movie "
"0","1686284545","Sun May 03 04:43:02 PDT 2009","NO_QUERY","P0150N0U5F15H","Please to explain peer? http://screencast.com/t/hrXC37dM  I can has download pl0x? "
"0","1686284962","Sun May 03 04:43:10 PDT 2009","NO_QUERY","laurlin24","At the beach with the roomies.. Too bad it's freezing and cloudy "
"0","1686285031","Sun May 03 04:43:11 PDT 2009","NO_QUERY","eclaiire","Studying today  Bad times."
"0","1686285392","Sun May 03 04:43:18 PDT 2009","NO_QUERY","Pudmaniac","My Mommy slept in today, and I wanted to play. "
"0","1686285534","Sun May 03 04:43:20 PDT 2009","NO_QUERY","nuttyhazelnut","@RebekahCheng oh man, are you okay? any injuries? "
"0","1686285595","Sun May 03 04:43:21 PDT 2009","NO_QUERY","stevenbenton","@JacquieDicker not very sunny here now "
"0","1686285969","Sun May 03 04:43:29 PDT 2009","NO_QUERY","AbbieReed","My mum won't take me to the other Next store to get the dress I want, they don't have it in Oldham in my size "
"0","1686286002","Sun May 03 04:43:29 PDT 2009","NO_QUERY","xTammy","how can i revise, without my revision? "
"0","1686286142","Sun May 03 04:43:32 PDT 2009","NO_QUERY","smittyyy09","Well babe just left for work  now at the hotel alone. Gonna get some more sleep now"
"0","1686291144","Sun May 03 04:45:04 PDT 2009","NO_QUERY","abietubbie","wants to hate her patient for not having a fone.   http://plurk.com/p/rj5qy"
"0","1686291173","Sun May 03 04:45:04 PDT 2009","NO_QUERY","katieg1990","@owlsaregreat if only stirling wasnt crap and somewhere was open "
"0","1686291192","Sun May 03 04:45:04 PDT 2009","NO_QUERY","heloloser","@loopylou15 i need to do something "
"0","1686291432","Sun May 03 04:45:08 PDT 2009","NO_QUERY","lanniemahoney","dear jersey.. why are you so cold today and ummm please don't rain "
"0","1686291636","Sun May 03 04:45:11 PDT 2009","NO_QUERY","Lyn_Pips","@trickyshirls Aww, I'm sorry about that.  I hope you feel better soon xx  Couldn't have come at a worse time for you could it "
"0","1686291643","Sun May 03 04:45:11 PDT 2009","NO_QUERY","laurenp89","can't afford to be so lazy, back to work now "
